Model,BarChartType,SamplingMethod,DownSamplingLevel,SamplingTarget,Avg_Error
ResNet50,4,COV,16,Height,0.005418663228019022
ResNet50,4,ADV,2,Height,0.0029227694469791555
ResNet50,4,ADV,4,Height,0.012570133387175645
ResNet50,4,ADV,8,Height,0.048179469570279396
ResNet50,4,ADV,16,Height,0.05134453220848257
ResNet50,4,OOD,2,Height,0.0034175849586844816
ResNet50,4,OOD,4,Height,0.017591457296810855
ResNet50,4,OOD,8,Height,0.02507821523141259
ResNet50,4,OOD,16,Height,0.025721473910269577
VGG19,5,IID,2,Ratio,6.908600647200481e-05
VGG19,5,IID,4,Ratio,0.00010082979308933548
VGG19,5,IID,8,Ratio,0.0009785139749073654
VGG19,5,IID,16,Ratio,0.010670399069523412
VGG19,5,COV,2,Ratio,5.2012870590154555e-05
VGG19,5,COV,4,Ratio,8.544671707212537e-05
VGG19,5,COV,8,Ratio,0.00016185115654326204
VGG19,5,COV,16,Ratio,0.010755713174597068
VGG19,5,ADV,2,Ratio,0.00011627173074350596
VGG19,5,ADV,4,Ratio,0.009345311468055317
VGG19,5,ADV,8,Ratio,0.012167920651391287
VGG19,5,ADV,16,Ratio,0.02919100086739323
VGG19,5,OOD,2,Ratio,0.00899207801235589
VGG19,5,OOD,4,Ratio,0.047092092328944346
VGG19,5,OOD,8,Ratio,0.060576482506459105
VGG19,5,OOD,16,Ratio,0.06421046534544968
VGG19,5,IID,2,Height,0.0004574575735483077
VGG19,5,IID,4,Height,0.0027499836579960774
VGG19,5,IID,8,Height,0.006958507652051837
VGG19,5,IID,16,Height,0.014640185694684896
VGG19,5,COV,2,Height,9.31550011015045e-05
VGG19,5,COV,4,Height,0.000300774952120331
VGG19,5,COV,8,Height,0.0012875530208268096
VGG19,5,COV,16,Height,0.005594401668834703
VGG19,5,ADV,2,Height,0.00296295055088435
VGG19,5,ADV,4,Height,0.01145166324736224
VGG19,5,ADV,8,Height,0.05194985327104236
VGG19,5,ADV,16,Height,0.053187490450527806
VGG19,5,OOD,2,Height,0.015602737018940795
VGG19,5,OOD,4,Height,0.03512572158788128
VGG19,5,OOD,8,Height,0.034124626023692886
VGG19,5,OOD,16,Height,0.040339944854338526
ResNet50,5,IID,2,Ratio,0.00020173033122149664
ResNet50,5,IID,4,Ratio,0.0003283985237272816
ResNet50,5,IID,8,Ratio,0.002861829021993154
ResNet50,5,IID,16,Ratio,0.014423885970647152
ResNet50,5,COV,2,Ratio,0.00019920804795152126
ResNet50,5,COV,4,Ratio,0.00020114624520253433
ResNet50,5,COV,8,Ratio,0.00040237726385661444
ResNet50,5,COV,16,Ratio,0.012668869329644304
ResNet50,5,ADV,2,Ratio,0.00044980678027431296
ResNet50,5,ADV,4,Ratio,0.014718466414857545
ResNet50,5,ADV,8,Ratio,0.016516636098216627
ResNet50,5,ADV,16,Ratio,0.029909248336153653
ResNet50,5,OOD,2,Ratio,0.013876676275309995
ResNet50,5,OOD,4,Ratio,0.05360461761640178
ResNet50,5,OOD,8,Ratio,0.061091117499463644
ResNet50,5,OOD,16,Ratio,0.06389214014347269
ResNet50,5,IID,2,Height,0.0010323167435521419
ResNet50,5,IID,4,Height,0.00276804036068119
ResNet50,5,IID,8,Height,0.01177535163168677
ResNet50,5,IID,16,Height,0.018996115604544207
ResNet50,5,COV,2,Height,0.00024321076325233508
ResNet50,5,COV,4,Height,0.0005151149159366956
ResNet50,5,COV,8,Height,0.0018821337456888531
ResNet50,5,COV,16,Height,0.007914939005889224
ResNet50,5,ADV,2,Height,0.0028193560992624605
ResNet50,5,ADV,4,Height,0.014087910641110223
ResNet50,5,ADV,8,Height,0.05131465569664635
ResNet50,5,ADV,16,Height,0.05245577470721374
ResNet50,5,OOD,2,Height,0.025726126812014163
ResNet50,5,OOD,4,Height,0.0554502551560653
ResNet50,5,OOD,8,Height,0.04969973492645553
ResNet50,5,OOD,16,Height,0.038109342660450234
